

2016年01月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03184B","元熊AU          ","28000","6","113670","3.99","4.09","3.99","4.09","+","0.34","3.99","499","4.03","495","57.35"
="03185B","元熊L1          ","0","0","0","--","--","--","--"," ","0","4.96","495","4.97","499","7852.06"
="031866","MH凱基          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","1,034","1830"
="03186B","元熊M1          ","0","0","0","--","--","--","--"," ","0","4.98","499","4.99","495","7852.06"
="03187B","元熊AV          ","38000","7","157680","4.05","4.23","4.05","4.23","+","0.33","4.1","499","4.14","499","57.35"
="031884","D4元富          ","304000","10","18640","0.08","0.08","0.06","0.08"," ","0","0.06","206","0.08","80","1830"
="03188B","兆熊BQ          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","7852.06"
="03189B","元熊N1          ","329000","11","661500","1.92","2.08","1.92","2.04","+","0.13","2","495","2.01","499","7852.06"
="03190B","元熊38          ","45000","3","191000","4.15","4.34","4.15","4.34","+","0.2","4.31","495","4.32","421","917.43"
="031917","66統一          ","381000","4","3820","0.01","0.02","0.01","0.01"," ","0","0.01","10","0.02","41","1830"
="031918","67統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.05","180","28.1"
="031919","68統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.02","120","28.1"
="031920","69統一          ","80000","2","800","0.01","0.01","0.01","0.01"," ","0","0.01","20","0.1","10","78.9"
="03192B","元熊X1          ","1825000","81","3011160","1.52","1.7","1.5","1.64","+","0.14","1.64","550","1.65","509","7852.06"
="031937","中信7Q          ","0","0","0","--","--","--","--"," ","0","0.01","130","--","0","54"
="03193B","兆熊HN          ","2621000","32","4381710","1.55","1.72","1.55","1.66","+","0.15","1.66","91","1.77","2","7852.06"
="031940","中信7T          ","0","0","0","--","--","--","--"," ","0","--","0","--","0","226"
